email,firstname,lastname,jobtitle,company,industry,numemployees,function,seniority,country,region,hubspot_owner_email,lifecyclestage,hs_lead_status,hubspot_contact_id,attendance_status,time_in_session_minutes,registration_time,icp_tier,icp_rationale,confidence,merge_action,needs_review,company_domain,suppression_reason,icp_source,icp_confidence,icp_tier_rules,industry_source,numemployees_source,firmographics_confidence,needs_review_reason,is_speaker
siriporn@ninjavan.co,Siriporn,Srisuk,N/A,NV,Logistics,3500,general,unknown,SG,SEA,sdr.sea@darwinbox.com,subscriber,NEW,,no_show,,2026-08-02T15:26:03,unqualified,"unqualified -- title 'N/A' not in tier1/tier2 title lists and company_size=3500 outside tier3 range [1, 200] (industry=Logistics). [firmographics (llm, confidence=0.8): industry=Logistics size=3500 -- Ninja Van is a Southeast Asian last-mile parcel network; scale inferred from its regional footprint.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,ninjavan.co,,rules,,unqualified,llm,llm,0.8,,False
pkulkarni@asianpaints.com,Pooja,Kulkarni,Head of L&D,asian paints,Consumer Goods,7000,general,head,IN,INDIA,sdr.india@darwinbox.com,lead,NEW,,no_show,,2026-08-03T08:41:37,tier2,"tier2 -- title 'Head of L&D' in tier titles; company_size=7000 in [200, 1000000]; industry=Consumer Goods in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.95): industry=Consumer Goods size=7000 -- Asian Paints is a leading Indian paint manufacturer; employee count publicly reported ~7k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,asianpaints.com,,rules,,tier2,llm,llm,0.95,,False
sanjay.reddy@asianpaints.com,Sanjay,Reddy,Senior HRBP,asian paints,Consumer Goods,7000,general,unknown,IN,INDIA,sdr.india@darwinbox.com,lead,NEW,,no_show,,2026-08-04T23:47:56,tier2,"tier2 -- title 'Senior HRBP' in tier titles; company_size=7000 in [200, 1000000]; industry=Consumer Goods in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.95): industry=Consumer Goods size=7000 -- Asian Paints is a leading Indian paint manufacturer; employee count publicly reported ~7k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,asianpaints.com,,rules,,tier2,llm,llm,0.95,,False
yalsayed@qatarairways.com,Yousfe,Al-Sayed,Consultant,Qatar Airways,Aviation,46000,general,unknown,Qatar,UNASSIGNED,,subscriber,NEW,,no_show,,2026-08-05T20:54:42,unqualified,"unqualified -- title 'Consultant' not in tier1/tier2 title lists and company_size=46000 outside tier3 range [1, 200] (industry=Aviation). [firmographics (llm, confidence=0.95): industry=Aviation size=46000 -- Qatar Airways is the flag carrier of Qatar with a reported workforce exceeding 45k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,qatarairways.com,,rules,,unqualified,llm,llm,0.95,,False
sanjay.rao@hdfcbank.com,Sanjay,Rao,Attendee,HDFC Bank Ltd,BFSI,150000,general,unknown,IN,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,attended,27,2026-07-29T06:50:59,unqualified,"unqualified -- title 'Attendee' not in tier1/tier2 title lists and company_size=150000 outside tier3 range [1, 200] (industry=BFSI). [title unresolved -- no peer or company signal; generic fallback; firmographics (llm, confidence=0.95): industry=BFSI size=150000 -- HDFC Bank is India's largest private-sector bank; headcount publicly exceeds 150k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.85,create_new,False,hdfcbank.com,,rules,,unqualified,llm,llm,0.95,,False
dsmith@chewy.com,David,Smith,TA Manager,Chewy,Internet,17000,general,manager,united states,NA,sdr.na@darwinbox.com,lead,NEW,,attended,31,2026-08-05T09:10:40,tier2,"tier2 -- title 'TA Manager' in tier titles; company_size=17000 in [200, 1000000]; industry=Internet in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.95): industry=Internet size=17000 -- Chewy is a US-based pet e-commerce retailer; employee count publicly reported ~17k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,chewy.com,,rules,,tier2,llm,llm,0.95,,False
siripornw@ocbc.com,Siriporn,Wongsa,Attendee,OCBC Ltd,BFSI,30000,general,unknown,SG,SEA,sdr.sea@darwinbox.com,subscriber,NEW,,no_show,,2026-08-08T21:10:44,unqualified,"unqualified -- title 'Attendee' not in tier1/tier2 title lists and company_size=30000 outside tier3 range [1, 200] (industry=BFSI). [title unresolved -- no peer or company signal; generic fallback; firmographics (llm, confidence=0.95): industry=BFSI size=30000 -- OCBC Bank is a major Singaporean bank with publicly reported headcount around 30k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.85,create_new,False,ocbc.com,,rules,,unqualified,llm,llm,0.95,,False
neha.rao@havells.com,Neha,Rao,HRIS Lead,Havells,Manufacturing,8000,general,unknown,india,INDIA,sdr.india@darwinbox.com,lead,NEW,,no_show,,2026-08-09T16:28:55,tier1,"tier1 -- title 'HRIS Lead' in tier titles; company_size=8000 in [500, 1000000]; industry=Manufacturing in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.85): industry=Manufacturing size=8000 -- Havells is a leading Indian electrical equipment manufacturer with reported workforce of ~8,000.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,havells.com,,rules,,tier1,llm,llm,0.85,,False
dgupta@persistent.com,Gupta,Divya,Attendee,Persistent Systems,IT/ITES,10500,general,unknown,india,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,no_show,,2026-08-12T00:51:00,unqualified,"unqualified -- title 'Attendee' not in tier1/tier2 title lists and company_size=10500 outside tier3 range [1, 200] (industry=IT/ITES). [title unresolved -- no peer or company signal; generic fallback; inference (prompts/inference.md): company resolved by the model in place of the rule-cascade fallback; firmographics (llm, confidence=0.9): industry=IT/ITES size=10500 -- Persistent Systems is a mid‑size Indian IT services and software product company with reported headcount over 10k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.95,create_new,False,persistent.com,,rules,,unqualified,llm,llm,0.9,,False
siti@ocbc.com,Siti,Rahman,Attendee,OCBC,BFSI,30000,general,unknown,sg,SEA,sdr.sea@darwinbox.com,subscriber,NEW,,no_show,,2026-08-11T01:22:41,unqualified,"unqualified -- title 'Attendee' not in tier1/tier2 title lists and company_size=30000 outside tier3 range [1, 200] (industry=BFSI). [title unresolved -- no peer or company signal; generic fallback; firmographics (llm, confidence=0.95): industry=BFSI size=30000 -- OCBC Bank is a major Singaporean bank with publicly reported headcount around 30k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.85,create_new,False,ocbc.com,,rules,,unqualified,llm,llm,0.95,,False
rverma82@rediffmail.com,Rahul,Verma,Founder,Unknown,Internet,600,executive,c_suite,IN,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,attended,25,2026-08-07T00:09:44,unqualified,"unqualified -- title 'Founder' not in tier1/tier2 title lists and company_size=600 outside tier3 range [1, 200] (industry=Internet). [no company signal available (freemail or unmatched domain); firmographics (llm, confidence=0.8): industry=Internet size=600 -- Rediffmail.com belongs to Rediff, an Indian internet portal with workforce in the low‑hundreds.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.75,create_new,False,rediffmail.com,,rules,,unqualified,llm,llm,0.8,,False
nehai@sunpharma.com,Neha,Iyer,HR Operations Manager,Sun Pharma,Pharma,30000,general,manager,India,INDIA,sdr.india@darwinbox.com,lead,NEW,,no_show,,2026-08-06T16:41:18,tier2,"tier2 -- title 'HR Operations Manager' in tier titles; company_size=30000 in [200, 1000000]; industry=Pharma in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.95): industry=Pharma size=30000 -- Sun Pharma is a leading Indian pharmaceutical multinational with publicly reported headcount around 30k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,sunpharma.com,,rules,,tier2,llm,llm,0.95,,False
karan.sharma@godrejcp.com,Karan,Sharma,Digital Transformation Head,Godrej Consumer Products,Consumer Goods,5000,general,unknown,IN,INDIA,sdr.india@darwinbox.com,lead,NEW,,attended,29,2026-08-11T09:49:29,tier2,"tier2 -- title 'Digital Transformation Head' in tier titles; company_size=5000 in [200, 1000000]; industry=Consumer Goods in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.8): industry=Consumer Goods size=5000 -- Godrej Consumer Products is an Indian FMCG company; headcount publicly reported around 5k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,godrejcp.com,,rules,,tier2,llm,llm,0.8,,False
muhammad.abdullah@axiata.com,Muhammad,Abdullah,Consultant,Axiata Ltd,Telecom,20000,general,unknown,MY,SEA,sdr.sea@darwinbox.com,subscriber,NEW,,no_show,,2026-07-26T15:23:19,unqualified,"unqualified -- title 'Consultant' not in tier1/tier2 title lists and company_size=20000 outside tier3 range [1, 200] (industry=Telecom). [firmographics (llm, confidence=0.95): industry=Telecom size=20000 -- Axiata is a Malaysian telecom group; headcount publicly reported ~20k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,axiata.com,,rules,,unqualified,llm,llm,0.95,,False
rohann@sunpharma.com,Rohan,Nair,N/A,Sun Pharma Ltd,Pharma,30000,general,unknown,IN,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,no_show,,2026-07-30T04:00:29,unqualified,"unqualified -- title 'N/A' not in tier1/tier2 title lists and company_size=30000 outside tier3 range [1, 200] (industry=Pharma). [firmographics (llm, confidence=0.95): industry=Pharma size=30000 -- Sun Pharma is a leading Indian pharmaceutical multinational with publicly reported headcount around 30k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,sunpharma.com,,rules,,unqualified,llm,llm,0.95,,False
nalfarsi@talabat.com,Noura,Al-Farsi,Senior HRBP,talabat,Internet,5000,general,unknown,United Arab Emirates,MENA,sdr.mena@darwinbox.com,lead,NEW,,no_show,,2026-07-25T05:53:39,tier2,"tier2 -- title 'Senior HRBP' in tier titles; company_size=5000 in [200, 1000000]; industry=Internet in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.8): industry=Internet size=5000 -- talabat is a Middle East online food delivery platform; employee count inferred from its regional scale.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,talabat.com,,rules,,tier2,llm,llm,0.8,,False
djohnson@chewy.com,David,Johnson,HRIS Manager,Chewy Ltd,Internet,17000,general,manager,US,NA,sdr.na@darwinbox.com,marketingqualifiedlead,NEW,,attended,25,2026-07-28T00:49:24,tier1,"tier1 -- title 'HRIS Manager' in tier titles; company_size=17000 in [500, 1000000]; industry=Internet in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.95): industry=Internet size=17000 -- Chewy is a US-based pet e-commerce retailer; employee count publicly reported ~17k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,chewy.com,,rules,,tier1,llm,llm,0.95,,False
vikramn@darwinbox.com,Vikram,Nair,Sales Development Rep,Darwinbox,SaaS,1000,sales,individual_contributor,in,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,attended,37,2026-08-02T15:55:28,unqualified,"unqualified -- title 'Sales Development Rep' not in tier1/tier2 title lists and company_size=1000 outside tier3 range [1, 200] (industry=SaaS). [firmographics (llm, confidence=0.8): industry=SaaS size=1000 -- Darwinbox is an Indian HR SaaS platform; headcount estimated ~1k based on LinkedIn size.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,darwinbox.com,"host company domain ('darwinbox.com') -- internal staff, not a prospect",rules,,unqualified,llm,llm,0.8,,False
ahmeda@emirates.com,Ahmed,Al-Qahtani,Attendee,Emirates Group,Aviation,100000,general,unknown,ae,MENA,sdr.mena@darwinbox.com,subscriber,NEW,,attended,40,2026-08-02T20:00:28,unqualified,"unqualified -- title 'Attendee' not in tier1/tier2 title lists and company_size=100000 outside tier3 range [1, 200] (industry=Aviation). [title unresolved -- no peer or company signal; generic fallback; firmographics (llm, confidence=0.95): industry=Aviation size=100000 -- Emirates Group is a major UAE-based aviation conglomerate; employee count publicly reported ~100k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",0.85,create_new,False,emirates.com,,rules,,unqualified,llm,llm,0.95,,False
amit@apollohospitals.com,Amit,Patel,HRIS Manager,Apollo Hospitals,Healthcare,70000,general,manager,in,INDIA,sdr.india@darwinbox.com,marketingqualifiedlead,NEW,,attended,38,2026-08-11T12:40:22,tier1,"tier1 -- title 'HRIS Manager' in tier titles; company_size=70000 in [500, 1000000]; industry=Healthcare in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.95): industry=Healthcare size=70000 -- Apollo Hospitals is a major Indian healthcare provider; headcount publicly disclosed ~70k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,apollohospitals.com,,rules,,tier1,llm,llm,0.95,,False
kai8karma+speaker-sudikorba@gmail.com,Sudi,Bjornstad Korba,"Senior Vice President of Sales, North America",Darwinbox,SaaS,600,general,unknown,,UNASSIGNED,,evangelist,NEW,,attended,,,unqualified,"unqualified -- title 'Senior Vice President of Sales, North America' not in tier1/tier2 title lists and company_size=600 outside tier3 range [1, 200] (industry=SaaS). [firmographics (llm, confidence=0.7): industry=SaaS size=600 -- Darwinbox is an Indian HR SaaS startup; headcount estimated in the few-hundreds based on funding and team size.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands; speaker at this event (title='Senior Vice President of Sales, North America', company='Darwinbox') -- lifecyclestage set to 'evangelist' rather than the attendee attended/session-length rubric, which does not apply to a speaker]",1.0,create_new,False,,,rules,,unqualified,llm,llm,0.7,,True
kai8karma+speaker-qhamirani@gmail.com,Q,Hamirani,Chief People Officer,HighLevel,SaaS,180,general,unknown,,UNASSIGNED,,evangelist,NEW,,attended,,,tier3,"tier3 -- catch-all title 'Chief People Officer'; company_size=180 in [1, 200]; industry=SaaS (wildcard). [firmographics (llm, confidence=0.7): industry=SaaS size=180 -- HighLevel provides a SaaS marketing platform; team size estimated in the low‑hundreds.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands; speaker at this event (title='Chief People Officer', company='HighLevel') -- lifecyclestage set to 'evangelist' rather than the attendee attended/session-length rubric, which does not apply to a speaker]",1.0,create_new,False,,,rules,,tier3,llm,llm,0.7,,True
